positions,skills
['agile project lead'],"['Google Analytics', 'Wireframing', 'Time Management', 'Communication', 'User Research', 'MS Project', 'Presentation', 'Scope Management', 'Documentation', 'Performance Metrics', 'Budgeting', 'Reporting', 'Issue Tracking', 'Team Coordination', 'Customer Retention', 'A/B Testing']"
['software engineer'],"['DevOps', 'Testing', 'Git', 'Terraform', 'Databases', 'Deployment', 'Code Review', 'Data Structures', 'System Design', 'API Integration', 'Infrastructure as Code', 'Docker', 'Web Development', 'Object-Oriented Design', 'Microservices', 'Version Control', 'Programming', 'Algorithms', 'Debugging', 'ETL Pipelines']"
"['project manager', 'agile project lead']","['Scheduling', 'Scope Management', 'Reporting', 'Issue Tracking', 'Documentation', 'Performance Metrics', 'User Research', 'A/B Testing', 'Presentation', 'Wireframing', 'Google Analytics', 'MS Project', 'Stakeholder Management', 'Communication']"
['android developer'],"['Glide', 'Firebase', 'MVVM', 'Bug Fixing', 'Kotlin', 'Version Control', 'Testing', 'Java', 'XML', 'REST APIs', 'Notifications', 'Retrofit', 'React Native', 'App Lifecycle', 'Android SDK', 'Play Store Deployment', 'UI Design']"
"['devops engineer', 'cloud data engineer']","['System Design', 'Debugging', 'Version Control', 'Git', 'Algorithms', 'CI/CD', 'Microservices', 'Object-Oriented Design', 'Golang', 'Programming', 'Code Review', 'Docker', 'Data Structures', 'Terraform', 'Testing', 'Web Development', 'Deployment']"
"['ai researcher', 'data scientist']","['Exploratory Data Analysis', 'TensorFlow', 'Regression', 'NLP', 'Machine Learning', 'Tableau', 'PyTorch', 'Deep Learning', 'Data Analysis', 'ANN']"
"['data scientist', 'ai researcher']","['Feature Engineering', 'Snowflake', 'TensorFlow', 'ANN', 'RNN', 'SQL', 'Data Cleaning', 'Deep Learning', 'NLP', 'Classification', 'Big Data', 'CNN', 'Data Analysis', 'Visualization', 'Clustering', 'Machine Learning']"
"['ai researcher', 'machine learning engineer']","['ANN', 'Big Data', 'Machine Learning', 'Predictive Modeling', 'NLP', 'Python', 'Tableau', 'TensorFlow', 'Data Analysis', 'SQL', 'Statistics', 'Classification', 'RNN', 'Exploratory Data Analysis', 'PyTorch', 'Clustering', 'Data Cleaning', 'Visualization']"
['machine learning engineer'],"['Machine Learning', 'Feature Engineering', 'RNN', 'Dimensionality Reduction', 'PyTorch', 'NLP', 'Python', 'Visualization', 'Regression', 'TensorFlow', 'Predictive Modeling', 'Snowflake', 'Data Analysis']"
['ai researcher'],"['NLP', 'CNN', 'Classification', 'Machine Learning', 'Feature Engineering', 'Regression', 'Big Data', 'Snowflake', 'Exploratory Data Analysis', 'Data Cleaning']"
"['mobile application developer', 'android developer']","['Glide', 'Bug Fixing', 'Java', 'Fragments', 'Notifications', 'REST APIs', 'MVVM', 'App Lifecycle', 'Kotlin', 'React Native', 'Android SDK']"
['project manager'],"['Budgeting', 'Time Management', 'Reporting', 'Scope Management', 'Team Coordination', 'MS Project', 'Scheduling', 'Presentation', 'Communication', 'Documentation', 'Issue Tracking', 'Customer Retention', 'Google Analytics', 'Risk Management', 'Stakeholder Management', 'A/B Testing', 'Project Planning', 'User Research', 'Wireframing']"
"['project manager', 'assistant project manager']","['Team Coordination', 'Presentation', 'Scope Management', 'Google Analytics', 'Issue Tracking', 'Reporting', 'Documentation', 'User Research', 'MS Project', 'Stakeholder Management', 'Scheduling', 'Project Planning', 'Risk Management', 'Performance Metrics', 'Communication', 'Budgeting', 'Customer Retention', 'A/B Testing']"
"['assistant project manager', 'project manager']","['Presentation', 'Customer Retention', 'Performance Metrics', 'Project Planning', 'Risk Management', 'Team Coordination', 'Scheduling', 'Time Management', 'Documentation', 'Wireframing', 'Communication']"
"['ai researcher', 'machine learning engineer']","['Predictive Modeling', 'NLP', 'Machine Learning', 'Regression', 'Clustering', 'TensorFlow', 'Classification', 'CNN', 'Python', 'Deep Learning', 'Statistics', 'Data Analysis', 'Feature Engineering', 'Dimensionality Reduction', 'Tableau', 'Exploratory Data Analysis', 'RNN', 'SQL', 'Data Cleaning']"
['android intern'],"['Play Store Deployment', 'Kotlin', 'Glide', 'MVVM', 'REST APIs', 'Version Control', 'Bug Fixing', 'UI Design', 'Performance Optimization', 'App Lifecycle', 'React Native', 'Android SDK', 'Testing', 'XML', 'Fragments', 'Retrofit', 'Firebase']"
['assistant project manager'],"['Stakeholder Management', 'Google Analytics', 'Project Planning', 'Presentation', 'Scope Management', 'Reporting', 'Wireframing', 'Risk Management', 'User Research', 'MS Project', 'Performance Metrics', 'Documentation', 'Time Management', 'Budgeting', 'Customer Retention', 'A/B Testing', 'Team Coordination', 'Communication', 'Scheduling']"
['devops engineer'],"['Git', 'Golang', 'API Integration', 'System Design', 'ETL Pipelines', 'Version Control', 'Debugging', 'Object-Oriented Design', 'DevOps', 'Microservices', 'Programming', 'Deployment', 'Algorithms', 'Terraform', 'Data Structures', 'Databases', 'Infrastructure as Code', 'CI/CD']"
"['cloud data engineer', 'software engineer']","['System Design', 'Golang', 'CI/CD', 'DevOps', 'Terraform', 'Databases', 'Debugging', 'Testing', 'Algorithms', 'Docker', 'Version Control', 'ETL Pipelines']"
['android developer'],"['Performance Optimization', 'Android SDK', 'Retrofit', 'MVVM', 'Java', 'Firebase', 'Kotlin', 'Glide', 'REST APIs', 'Testing']"
['software engineer'],"['Terraform', 'API Integration', 'System Design', 'Object-Oriented Design', 'Databases', 'Docker', 'ETL Pipelines', 'Testing', 'Microservices', 'Debugging', 'CI/CD', 'Version Control']"
['cloud data engineer'],"['System Design', 'Docker', 'Object-Oriented Design', 'Microservices', 'Terraform', 'Databases', 'API Integration', 'DevOps', 'Golang', 'CI/CD', 'Version Control', 'Algorithms', 'Data Structures', 'ETL Pipelines', 'Web Development', 'Deployment', 'Infrastructure as Code', 'Code Review', 'Testing', 'Debugging']"
['machine learning engineer'],"['Data Cleaning', 'Deep Learning', 'Statistics', 'NLP', 'Tableau', 'Classification', 'CNN', 'Predictive Modeling', 'Feature Engineering', 'ANN']"
"['devops engineer', 'software engineer']","['API Integration', 'Testing', 'Algorithms', 'Code Review', 'Databases', 'Debugging', 'Terraform', 'Infrastructure as Code', 'Golang', 'CI/CD', 'System Design', 'Programming', 'Docker', 'Microservices', 'Object-Oriented Design', 'DevOps', 'ETL Pipelines', 'Data Structures']"
"['agile project lead', 'project manager']","['Issue Tracking', 'Google Analytics', 'Communication', 'Project Planning', 'Performance Metrics', 'Scope Management', 'Team Coordination', 'Stakeholder Management', 'Scheduling', 'A/B Testing', 'Reporting', 'Budgeting', 'Risk Management', 'Presentation']"
['data scientist'],"['Feature Engineering', 'Statistics', 'Data Cleaning', 'Exploratory Data Analysis', 'SQL', 'Machine Learning', 'Regression', 'PyTorch', 'RNN', 'Clustering', 'Tableau', 'Data Analysis', 'Deep Learning', 'Predictive Modeling', 'Visualization', 'Classification', 'Snowflake', 'TensorFlow', 'Dimensionality Reduction', 'ANN']"
['mobile application developer'],"['React Native', 'Testing', 'Performance Optimization', 'Version Control', 'REST APIs', 'Bug Fixing', 'UI Design', 'Kotlin', 'Firebase', 'XML', 'Play Store Deployment', 'Retrofit', 'App Lifecycle', 'Glide', 'Fragments']"
"['agile project lead', 'assistant project manager']","['A/B Testing', 'Risk Management', 'Scheduling', 'Communication', 'Presentation', 'Wireframing', 'Google Analytics', 'MS Project', 'User Research', 'Stakeholder Management', 'Scope Management', 'Time Management', 'Team Coordination', 'Customer Retention', 'Documentation', 'Project Planning', 'Performance Metrics']"
"['machine learning engineer', 'ai researcher']","['Feature Engineering', 'Predictive Modeling', 'NLP', 'Statistics', 'Big Data', 'Python', 'Data Cleaning', 'PyTorch', 'RNN', 'Dimensionality Reduction', 'Exploratory Data Analysis', 'Visualization']"
['devops engineer'],"['Git', 'Algorithms', 'Deployment', 'Microservices', 'Testing', 'Web Development', 'Infrastructure as Code', 'Object-Oriented Design', 'Terraform', 'ETL Pipelines', 'Golang', 'Docker']"
['assistant project manager'],"['Team Coordination', 'Customer Retention', 'Issue Tracking', 'User Research', 'Scope Management', 'Performance Metrics', 'Communication', 'Risk Management', 'Presentation', 'Documentation', 'A/B Testing', 'Stakeholder Management', 'Project Planning', 'Time Management']"
"['mobile application developer', 'android intern']","['Bug Fixing', 'Play Store Deployment', 'App Lifecycle', 'React Native', 'Android SDK', 'MVVM', 'Kotlin', 'Glide', 'Java', 'Firebase', 'Fragments', 'REST APIs', 'Testing', 'Retrofit', 'Version Control', 'XML', 'UI Design']"
"['android intern', 'mobile application developer']","['Java', 'Notifications', 'Bug Fixing', 'MVVM', 'Testing', 'UI Design', 'Retrofit', 'Android SDK', 'Firebase', 'REST APIs', 'Kotlin', 'App Lifecycle', 'React Native', 'Version Control', 'Performance Optimization', 'Play Store Deployment', 'Glide', 'XML', 'Fragments']"
['cloud data engineer'],"['Algorithms', 'Testing', 'ETL Pipelines', 'Version Control', 'Data Structures', 'Web Development', 'Object-Oriented Design', 'Debugging', 'Docker', 'Databases', 'API Integration', 'Git', 'System Design', 'Infrastructure as Code', 'DevOps', 'Microservices', 'Programming', 'CI/CD', 'Code Review', 'Terraform']"
['data scientist'],"['Dimensionality Reduction', 'RNN', 'Machine Learning', 'Visualization', 'Deep Learning', 'Snowflake', 'Tableau', 'Classification', 'Big Data', 'Data Analysis', 'Predictive Modeling', 'Exploratory Data Analysis', 'CNN', 'NLP']"
['android intern'],"['Play Store Deployment', 'Testing', 'REST APIs', 'React Native', 'App Lifecycle', 'MVVM', 'Kotlin', 'UI Design', 'Version Control', 'Bug Fixing', 'Fragments', 'Glide', 'XML', 'Android SDK', 'Firebase', 'Retrofit', 'Performance Optimization', 'Notifications']"
['android developer'],"['Play Store Deployment', 'UI Design', 'Bug Fixing', 'Notifications', 'Glide', 'Java', 'Retrofit', 'MVVM', 'REST APIs', 'Testing']"
['devops engineer'],"['Algorithms', 'CI/CD', 'Git', 'Docker', 'Testing', 'Object-Oriented Design', 'Web Development', 'Debugging', 'Code Review', 'API Integration', 'Version Control', 'Terraform', 'Deployment', 'Databases', 'Data Structures']"
"['assistant project manager', 'agile project lead']","['Google Analytics', 'Presentation', 'MS Project', 'Communication', 'Team Coordination', 'Budgeting', 'Stakeholder Management', 'Documentation', 'Time Management', 'Customer Retention', 'A/B Testing', 'Scope Management', 'User Research', 'Wireframing', 'Performance Metrics', 'Reporting', 'Scheduling']"
"['software engineer', 'cloud data engineer']","['Deployment', 'Object-Oriented Design', 'Git', 'Golang', 'Debugging', 'Code Review', 'Algorithms', 'Web Development', 'Infrastructure as Code', 'Testing', 'Docker']"
"['data scientist', 'ai researcher']","['Dimensionality Reduction', 'Deep Learning', 'Python', 'Exploratory Data Analysis', 'CNN', 'Data Cleaning', 'TensorFlow', 'Classification', 'Tableau', 'Snowflake', 'ANN', 'Statistics', 'Visualization', 'Machine Learning', 'SQL']"
"['project manager', 'assistant project manager']","['Customer Retention', 'Reporting', 'Scope Management', 'Presentation', 'Google Analytics', 'Scheduling', 'Project Planning', 'A/B Testing', 'Communication', 'Risk Management', 'User Research', 'Performance Metrics', 'Documentation', 'Budgeting', 'Time Management', 'Team Coordination', 'Issue Tracking', 'Wireframing']"
"['ai researcher', 'machine learning engineer']","['Tableau', 'TensorFlow', 'Feature Engineering', 'Regression', 'Machine Learning', 'Data Analysis', 'Statistics', 'Big Data', 'Classification', 'NLP', 'Data Cleaning', 'Visualization']"
['android developer'],"['Play Store Deployment', 'App Lifecycle', 'Android SDK', 'Firebase', 'REST APIs', 'React Native', 'Java', 'UI Design', 'Bug Fixing', 'Kotlin', 'Retrofit', 'MVVM', 'Glide', 'Version Control', 'XML', 'Notifications', 'Fragments', 'Performance Optimization']"
"['android intern', 'android developer']","['UI Design', 'Java', 'Android SDK', 'Testing', 'Performance Optimization', 'Fragments', 'REST APIs', 'Glide', 'XML', 'App Lifecycle', 'Version Control', 'MVVM', 'Bug Fixing', 'Kotlin', 'Play Store Deployment', 'React Native', 'Firebase', 'Notifications', 'Retrofit']"
"['android developer', 'mobile application developer']","['Kotlin', 'Java', 'XML', 'App Lifecycle', 'UI Design', 'Glide', 'Fragments', 'Firebase', 'MVVM', 'REST APIs', 'Android SDK', 'React Native', 'Performance Optimization', 'Retrofit']"
['android developer'],"['Android SDK', 'REST APIs', 'Kotlin', 'Play Store Deployment', 'Bug Fixing', 'Firebase', 'XML', 'App Lifecycle', 'React Native', 'MVVM', 'UI Design', 'Glide', 'Testing', 'Version Control', 'Retrofit', 'Performance Optimization', 'Fragments', 'Java']"
['software engineer'],"['Object-Oriented Design', 'Git', 'Infrastructure as Code', 'Databases', 'Data Structures', 'Terraform', 'Version Control', 'Web Development', 'CI/CD', 'System Design', 'Debugging', 'Testing', 'Deployment', 'ETL Pipelines', 'Microservices', 'API Integration', 'Code Review', 'Golang', 'Programming', 'Docker']"
['data scientist'],"['Classification', 'Snowflake', 'Dimensionality Reduction', 'Big Data', 'Clustering', 'Regression', 'CNN', 'Feature Engineering', 'Deep Learning', 'Python', 'Exploratory Data Analysis', 'PyTorch', 'Predictive Modeling']"
['android intern'],"['Kotlin', 'UI Design', 'Android SDK', 'XML', 'MVVM', 'Retrofit', 'Testing', 'Version Control', 'Glide', 'Play Store Deployment']"
['devops engineer'],"['Web Development', 'Microservices', 'API Integration', 'Infrastructure as Code', 'Docker', 'Deployment', 'Debugging', 'Testing', 'Databases', 'CI/CD', 'Code Review', 'Object-Oriented Design', 'Programming', 'Golang']"
['agile project lead'],"['Wireframing', 'Budgeting', 'Stakeholder Management', 'Communication', 'Presentation', 'Scheduling', 'Documentation', 'A/B Testing', 'Issue Tracking', 'MS Project', 'Project Planning', 'Risk Management', 'Scope Management', 'Performance Metrics', 'Google Analytics', 'Time Management', 'Customer Retention']"
"['assistant project manager', 'project manager']","['User Research', 'Customer Retention', 'Scope Management', 'Time Management', 'Wireframing', 'Reporting', 'Performance Metrics', 'A/B Testing', 'Risk Management', 'Budgeting', 'Google Analytics', 'Documentation', 'Stakeholder Management', 'Communication', 'Team Coordination', 'MS Project']"
"['ai researcher', 'machine learning engineer']","['Exploratory Data Analysis', 'SQL', 'NLP', 'TensorFlow', 'CNN', 'Feature Engineering', 'Visualization', 'Classification', 'Big Data', 'ANN', 'Data Cleaning', 'Python']"
"['software engineer', 'cloud data engineer']","['Microservices', 'Git', 'Code Review', 'Testing', 'Infrastructure as Code', 'Object-Oriented Design', 'API Integration', 'DevOps', 'Version Control', 'Terraform', 'CI/CD', 'Docker']"
"['android intern', 'mobile application developer']","['React Native', 'Java', 'Play Store Deployment', 'REST APIs', 'Performance Optimization', 'Bug Fixing', 'Kotlin', 'Glide', 'Firebase', 'Android SDK']"
"['android developer', 'android intern']","['Bug Fixing', 'Retrofit', 'Kotlin', 'XML', 'REST APIs', 'React Native', 'Android SDK', 'Java', 'Firebase', 'Fragments', 'Testing', 'Play Store Deployment', 'UI Design', 'Notifications', 'Glide']"
['cloud data engineer'],"['Databases', 'Infrastructure as Code', 'Deployment', 'Microservices', 'Git', 'Debugging', 'API Integration', 'Testing', 'Version Control', 'Docker', 'CI/CD', 'Algorithms', 'Object-Oriented Design', 'Programming', 'Data Structures', 'Terraform', 'System Design']"
"['software engineer', 'cloud data engineer']","['Databases', 'Microservices', 'API Integration', 'CI/CD', 'Infrastructure as Code', 'System Design', 'ETL Pipelines', 'Docker', 'Golang', 'DevOps', 'Testing', 'Version Control', 'Object-Oriented Design', 'Code Review', 'Terraform', 'Data Structures', 'Deployment']"
"['project manager', 'agile project lead']","['Budgeting', 'Team Coordination', 'User Research', 'Presentation', 'Google Analytics', 'Performance Metrics', 'Project Planning', 'Customer Retention', 'Scheduling', 'Documentation', 'Scope Management', 'Wireframing', 'A/B Testing', 'Communication', 'Time Management', 'Stakeholder Management']"
"['project manager', 'assistant project manager']","['Google Analytics', 'Stakeholder Management', 'Project Planning', 'Budgeting', 'Time Management', 'Presentation', 'Risk Management', 'A/B Testing', 'Documentation', 'User Research', 'Communication', 'Scope Management', 'Performance Metrics']"
['agile project lead'],"['Performance Metrics', 'Stakeholder Management', 'Documentation', 'Issue Tracking', 'Time Management', 'User Research', 'Communication', 'Scheduling', 'MS Project', 'Team Coordination', 'A/B Testing', 'Reporting', 'Customer Retention', 'Project Planning', 'Scope Management', 'Presentation', 'Risk Management', 'Wireframing']"
['devops engineer'],"['Web Development', 'Algorithms', 'DevOps', 'Data Structures', 'ETL Pipelines', 'Testing', 'API Integration', 'Databases', 'Code Review', 'Microservices', 'Git', 'Object-Oriented Design', 'Golang', 'Infrastructure as Code', 'Programming', 'Deployment', 'Terraform', 'Debugging']"
['mobile application developer'],"['Version Control', 'Performance Optimization', 'App Lifecycle', 'XML', 'Bug Fixing', 'Java', 'Notifications', 'Retrofit', 'MVVM', 'Kotlin']"
"['cloud data engineer', 'software engineer']","['Version Control', 'API Integration', 'Programming', 'Code Review', 'Deployment', 'Debugging', 'System Design', 'Microservices', 'Databases', 'Infrastructure as Code', 'DevOps', 'Testing', 'Terraform', 'Docker', 'Git']"
"['mobile application developer', 'android intern']","['Glide', 'Performance Optimization', 'Kotlin', 'Play Store Deployment', 'Notifications', 'Java', 'Retrofit', 'UI Design', 'Version Control', 'React Native', 'Android SDK', 'MVVM', 'App Lifecycle', 'Bug Fixing']"
"['devops engineer', 'software engineer']","['Microservices', 'API Integration', 'Testing', 'Programming', 'Version Control', 'Web Development', 'Infrastructure as Code', 'Terraform', 'ETL Pipelines', 'Docker']"
['mobile application developer'],"['Java', 'Testing', 'REST APIs', 'Retrofit', 'Bug Fixing', 'Version Control', 'Kotlin', 'React Native', 'App Lifecycle', 'Play Store Deployment', 'Fragments', 'Notifications', 'Performance Optimization', 'UI Design', 'Glide', 'Android SDK', 'MVVM', 'Firebase', 'XML']"
"['cloud data engineer', 'software engineer']","['Deployment', 'Docker', 'Data Structures', 'Golang', 'Algorithms', 'CI/CD', 'Version Control', 'Terraform', 'Git', 'System Design', 'Microservices', 'Object-Oriented Design', 'Debugging', 'Web Development']"
['ai researcher'],"['Data Analysis', 'Clustering', 'Tableau', 'Dimensionality Reduction', 'Exploratory Data Analysis', 'SQL', 'Python', 'Data Cleaning', 'RNN', 'Snowflake', 'Statistics', 'Big Data', 'PyTorch', 'Feature Engineering', 'Classification', 'Visualization', 'Machine Learning', 'ANN', 'TensorFlow', 'Predictive Modeling']"
"['project manager', 'assistant project manager']","['MS Project', 'Documentation', 'Time Management', 'Scheduling', 'Team Coordination', 'Risk Management', 'Budgeting', 'Wireframing', 'Customer Retention', 'Issue Tracking']"
['cloud data engineer'],"['ETL Pipelines', 'Databases', 'Programming', 'Deployment', 'Object-Oriented Design', 'Git', 'System Design', 'Algorithms', 'Data Structures', 'Web Development', 'Debugging', 'Docker', 'Golang', 'Code Review', 'DevOps', 'Version Control', 'Infrastructure as Code', 'Microservices', 'API Integration', 'Testing']"
"['android developer', 'android intern']","['App Lifecycle', 'Android SDK', 'Kotlin', 'XML', 'Testing', 'Play Store Deployment', 'Firebase', 'Java', 'MVVM', 'Version Control', 'REST APIs', 'Notifications', 'Glide', 'UI Design']"
['android intern'],"['Android SDK', 'React Native', 'REST APIs', 'Play Store Deployment', 'Kotlin', 'Retrofit', 'XML', 'Testing', 'UI Design', 'Glide', 'Fragments', 'Performance Optimization', 'Bug Fixing', 'Firebase', 'Version Control', 'Notifications', 'App Lifecycle']"
['data scientist'],"['Data Cleaning', 'SQL', 'Exploratory Data Analysis', 'Data Analysis', 'Predictive Modeling', 'Feature Engineering', 'TensorFlow', 'Snowflake', 'Tableau', 'NLP', 'Dimensionality Reduction', 'Python']"
['android intern'],"['XML', 'Retrofit', 'Notifications', 'Kotlin', 'Testing', 'Java', 'App Lifecycle', 'Play Store Deployment', 'MVVM', 'Fragments', 'REST APIs', 'React Native', 'Version Control', 'Performance Optimization', 'Android SDK', 'Firebase', 'Bug Fixing', 'Glide', 'UI Design']"
"['cloud data engineer', 'devops engineer']","['Object-Oriented Design', 'Programming', 'Data Structures', 'Docker', 'Web Development', 'Databases', 'DevOps', 'Microservices', 'Infrastructure as Code', 'CI/CD', 'Deployment', 'Terraform', 'API Integration', 'System Design']"
"['mobile application developer', 'android developer']","['React Native', 'Play Store Deployment', 'Kotlin', 'Firebase', 'Java', 'MVVM', 'Bug Fixing', 'App Lifecycle', 'Notifications', 'Glide', 'Android SDK', 'REST APIs', 'Testing']"
"['assistant project manager', 'agile project lead']","['MS Project', 'Project Planning', 'Team Coordination', 'Scope Management', 'Performance Metrics', 'Communication', 'A/B Testing', 'Scheduling', 'Google Analytics', 'Wireframing', 'Risk Management', 'Stakeholder Management', 'User Research', 'Time Management', 'Budgeting', 'Reporting', 'Presentation']"
